air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,0,0,0,84778658,apartment,120,35000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,35919662,apartment,3459,55000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,36082830,apartment,5736,150000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778829,apartment,163,37000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778785,house,97,55000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84778790,apartment,112,85000,0,3,0,0,0,alicante,1,0,0,0
0,0,0,0,0,0,84778712,house,5157,50000,0,2,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,84842873,apartment,190,85000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84903915,house,600,53000,0,1,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84903818,house,89,87350,0,3,0,0,0,alicante,0,1,0,0
0,0,3,0,0,0,84903221,apartment,100,130000,0,3,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84954165,apartment,134,28000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,1,0,0,29073244,rural_property,440,26000,0,5,0,0,0,alicante,0,0,0,1
1,0,1,0,0,0,34226619,apartment,80,35000,0,2,0,0,1,alicante,1,0,0,0
0,0,2,0,0,0,37661203,apartment,167,170000,0,4,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,37661232,apartment,122,124500,0,3,0,0,0,alicante,1,0,0,0
0,0,1,1,0,0,1795745,house,420,25000,0,5,1,0,0,alicante,0,1,0,0
0,0,1,0,0,0,83399678,house,120,39000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,1645424,apartment,100,79000,0,3,1,0,0,alicante,1,0,0,0
0,0,3,0,0,0,377210,house,160,125000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,30524257,apartment,147,100000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,1,0,35662199,house,173,65000,0,4,1,0,1,alicante,0,1,0,0
0,0,2,0,0,0,36194705,apartment,120,65000,0,5,1,0,1,alicante,1,0,0,0
0,0,1,0,0,0,36267199,apartment,90,38000,0,3,1,0,1,alicante,1,0,0,0
0,1,2,0,0,0,36698273,house,193,75000,0,6,1,0,1,alicante,0,1,0,0
0,0,2,0,0,0,38379162,house,160,235000,0,3,1,0,1,alicante,0,1,0,0
0,0,2,0,0,0,38874517,apartment,83,87300,0,2,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,39160615,house,90,68000,0,2,0,0,1,alicante,0,1,0,0
0,0,0,0,0,0,39479580,rural_property,18000,90000,0,3,0,1,0,alicante,0,0,0,1
0,0,1,0,0,0,81198386,rural_property,5000,119000,0,2,0,0,1,alicante,0,0,0,1
0,0,1,0,0,0,81475298,apartment,90,42000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81475467,apartment,86,45000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81475931,apartment,67,42000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,81475946,apartment,90,49000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,81476339,apartment,100,69000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,81476860,apartment,100,78000,0,4,0,0,0,alicante,1,0,0,0
1,0,2,0,0,0,81817217,apartment,100,129000,0,3,0,0,1,alicante,1,0,0,0
0,0,1,0,0,0,82477336,apartment,67,32000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,82579358,apartment,85,49000,0,3,0,0,0,alicante,1,0,0,0
1,1,2,0,0,0,83206966,apartment,90,100000,0,1,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,83216598,apartment,90,110000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83310618,house,180,90000,0,3,1,0,1,alicante,0,1,0,0
0,1,3,0,0,0,83342224,house,28000,235000,0,6,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,83545036,house,169,150000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,83715151,apartment,70,29000,1,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,386133,house,100,50000,0,2,0,0,0,alicante,0,1,0,0
0,0,1,0,1,0,83931885,house,110,25000,0,6,0,0,1,alicante,0,1,0,0
0,0,2,0,0,0,29945905,house,138,85000,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,81138769,house,94,60000,0,5,0,0,0,alicante,0,1,0,0
0,0,3,0,0,0,25401889,house,180,180000,0,3,0,0,1,alicante,0,1,0,0
1,1,3,1,0,0,27813560,house,255,130000,0,4,1,0,1,alicante,0,1,0,0
0,0,3,0,0,0,27824665,apartment,190,130000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,1,31145515,house,500,120000,0,3,0,1,0,alicante,0,1,0,0
0,0,1,0,0,0,31250061,apartment,90,47000,0,3,1,0,1,alicante,1,0,0,0
