air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,2,1,0,0,84420209,apartment,87,1,2,1,1,0,madrid,1,0,0,0
0,0,1,0,0,0,83311975,apartment,57,0,1,0,0,1,girona,1,0,0,0
0,0,2,0,0,0,83472437,house,202,0,4,0,0,0,sevilla,0,1,0,0
1,0,2,1,0,1,1626443,apartment,115,0,3,1,1,0,sevilla,1,0,0,0
1,0,3,1,0,0,35172834,apartment,150,0,3,0,0,0,alicante,1,0,0,0
1,0,2,1,0,0,34613055,apartment,97,0,3,0,0,1,girona,1,0,0,0
0,0,1,1,0,1,84099122,apartment,45,0,1,0,1,1,girona,1,0,0,0
0,0,3,1,0,0,84943119,apartment,242,0,3,0,0,0,madrid,1,0,0,0
0,0,2,1,0,1,84055968,apartment,145,0,4,1,1,1,madrid,1,0,0,0
1,0,3,1,0,1,82289728,house,210,0,4,1,1,0,sevilla,0,1,0,0
1,0,1,0,0,0,84932819,apartment,80,0,1,0,0,0,madrid,1,0,0,0
0,1,1,0,0,0,82708481,house,165,0,4,0,0,1,valencia,0,1,0,0
0,0,1,0,0,0,38286993,apartment,80,0,3,0,0,0,alicante,1,0,0,0
1,0,2,1,0,0,84332045,apartment,81,0,2,0,0,0,valencia,1,0,0,0
0,0,2,0,0,0,33692400,apartment,250,0,3,0,0,0,girona,1,0,0,0
0,0,2,0,0,0,35142896,apartment,120,0,3,0,0,0,alicante,1,0,0,0
1,0,1,0,0,0,81568110,apartment,94,1,3,0,0,1,valencia,1,0,0,0
0,0,2,0,0,0,83216598,apartment,90,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,31766829,apartment,152,0,3,0,0,0,girona,1,0,0,0
0,0,2,0,0,0,83291643,apartment,120,0,3,0,1,1,sevilla,1,0,0,0
0,0,2,0,0,0,84250497,apartment,69,0,2,0,0,0,madrid,1,0,0,0
1,1,1,1,0,0,84967451,apartment,70,0,2,1,0,0,madrid,1,0,0,0
0,0,1,0,0,0,33950289,apartment,109,0,3,0,0,0,valencia,1,0,0,0
0,0,2,0,0,1,35093255,house,13348,0,6,1,1,1,alicante,0,1,0,0
0,0,1,1,0,1,35656802,apartment,65,0,1,1,1,1,girona,1,0,0,0
1,0,3,1,0,1,82784985,house,476,0,4,1,1,0,sevilla,0,1,0,0
0,0,3,0,0,0,81288640,house,80,0,3,0,0,0,girona,0,1,0,0
0,0,2,1,0,0,84985564,apartment,123,0,3,0,0,0,madrid,1,0,0,0
0,0,2,0,0,0,81726929,house,168,0,3,0,0,0,sevilla,0,1,0,0
1,1,4,0,0,1,84421238,house,625,0,6,1,1,1,girona,0,1,0,0
0,0,1,0,0,0,40313444,apartment,53,0,1,0,0,1,girona,1,0,0,0
0,1,1,1,0,1,38549675,house,1241,0,3,1,1,1,alicante,0,1,0,0
1,0,2,1,0,0,83093442,apartment,106,0,2,1,0,1,sevilla,1,0,0,0
0,0,1,0,0,1,27120211,apartment,65,1,3,1,0,1,girona,1,0,0,0
0,1,1,0,0,0,84940908,apartment,70,0,3,0,0,1,madrid,1,0,0,0
1,0,2,1,0,0,84279176,apartment,136,1,3,0,0,0,valencia,1,0,0,0
1,0,2,0,0,1,84341039,house,954,0,3,0,0,0,alicante,0,1,0,0
1,0,1,1,0,0,82605758,apartment,85,0,3,0,0,1,sevilla,1,0,0,0
1,0,3,1,0,1,33853808,house,208,0,4,0,0,1,sevilla,0,1,0,0
0,0,2,1,0,0,81143332,apartment,68,0,2,0,0,1,girona,1,0,0,0
0,0,1,0,0,1,84775913,house,11403,0,5,1,1,1,alicante,0,1,0,0
0,0,2,0,0,0,34655691,apartment,85,0,3,0,0,1,sevilla,1,0,0,0
1,0,2,0,0,1,81808573,house,436,1,4,1,1,1,girona,0,1,0,0
0,0,2,0,0,1,84894352,apartment,129,0,3,0,0,0,sevilla,1,0,0,0
0,0,4,1,0,1,84723905,house,18634,0,6,1,1,1,alicante,0,1,0,0
1,1,2,1,0,1,40263826,house,975,0,4,1,1,1,valencia,0,1,0,0
0,0,3,0,0,0,84903446,house,152,0,5,0,0,0,alicante,0,1,0,0
1,1,1,0,0,0,81912349,apartment,76,0,3,0,0,0,valencia,1,0,0,0
1,0,2,0,0,1,84399998,house,327,0,5,0,1,1,alicante,0,1,0,0
0,0,1,0,0,0,390461,apartment,60,0,2,0,0,0,sevilla,1,0,0,0
0,0,2,0,0,0,84893709,apartment,106,0,3,0,0,1,sevilla,1,0,0,0
0,0,2,0,0,0,37335826,apartment,85,0,2,0,0,0,alicante,1,0,0,0
0,0,3,1,0,0,84359988,house,100,1,5,0,0,1,sevilla,0,1,0,0
0,0,2,0,0,0,85047784,apartment,127,0,5,0,0,1,madrid,1,0,0,0
0,0,2,0,0,0,84789042,apartment,100,0,4,1,0,0,girona,1,0,0,0
0,0,2,1,0,0,38519345,house,70,0,3,0,1,0,girona,0,1,0,0
0,0,1,0,0,0,27892936,apartment,93,0,3,0,0,0,valencia,1,0,0,0
0,0,1,1,0,1,27428021,apartment,78,0,2,1,0,1,girona,1,0,0,0
1,0,2,1,0,0,84735972,apartment,80,1,1,1,0,1,madrid,1,0,0,0
1,0,1,0,0,0,28578190,apartment,50,0,2,0,0,1,sevilla,1,0,0,0
1,0,3,1,0,1,36807872,house,1004,0,5,0,1,1,sevilla,0,1,0,0
1,0,1,1,0,0,84780605,apartment,90,0,4,1,0,0,valencia,1,0,0,0
0,0,1,0,0,0,84581479,apartment,61,0,2,0,0,1,madrid,1,0,0,0
0,0,1,0,0,0,39391789,apartment,81,0,4,0,0,0,valencia,1,0,0,0
0,0,4,0,0,0,83841146,apartment,220,1,6,1,0,1,madrid,1,0,0,0
0,1,1,0,0,0,83235923,house,124,0,3,0,0,1,sevilla,0,1,0,0
0,0,1,0,0,0,37824371,apartment,78,0,3,0,0,0,valencia,1,0,0,0
1,0,2,1,0,0,83203300,apartment,61,0,2,0,0,0,girona,1,0,0,0
1,0,3,1,0,0,26346645,house,225,0,4,0,1,1,madrid,0,1,0,0
1,0,2,1,0,1,82479216,apartment,90,0,2,1,1,0,madrid,1,0,0,0
0,0,2,0,0,1,82852308,apartment,182,1,4,1,0,0,madrid,1,0,0,0
1,0,2,1,0,1,84441456,apartment,146,0,4,1,1,1,madrid,1,0,0,0
0,0,3,1,0,0,81887277,house,165,0,4,0,0,0,valencia,0,1,0,0
0,0,1,0,0,0,34835777,house,128,0,1,0,0,1,alicante,0,1,0,0
1,0,1,1,0,0,84761910,apartment,68,0,3,0,0,1,madrid,1,0,0,0
0,1,1,1,0,0,84572952,apartment,80,0,3,0,0,0,valencia,1,0,0,0
1,0,2,1,0,1,36736140,apartment,90,0,3,0,1,1,sevilla,1,0,0,0
1,0,3,1,0,0,83630759,apartment,150,0,2,0,0,0,madrid,1,0,0,0
0,0,2,0,0,0,83015550,apartment,80,0,3,1,0,1,girona,1,0,0,0
0,0,1,0,0,0,84092766,house,1000,0,3,0,0,0,sevilla,0,1,0,0
0,0,1,1,0,0,84861650,apartment,75,0,2,0,0,1,girona,1,0,0,0
0,0,1,1,0,0,83978407,apartment,54,0,2,0,0,0,valencia,1,0,0,0
0,0,1,0,0,0,84778639,apartment,66,0,2,0,0,0,alicante,1,0,0,0
1,0,2,1,0,1,84636308,apartment,120,0,4,0,0,1,sevilla,1,0,0,0
1,0,1,0,0,0,82359766,apartment,99,0,4,1,0,1,valencia,1,0,0,0
0,0,2,1,0,1,28587096,house,1350,0,4,1,0,1,girona,0,1,0,0
1,0,2,0,0,0,82897644,apartment,112,0,3,0,0,0,madrid,1,0,0,0
1,1,2,1,0,1,35458263,apartment,90,1,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,35320045,apartment,73,0,3,0,0,0,valencia,1,0,0,0
